"estimate","lower","upper","onset_date","n.reported"
1,1,1,2020-05-11,1
6,6,7,2020-05-12,6
5,5,6,2020-05-13,5
1,1,3,2020-05-14,1
9,9,11,2020-05-15,9
2,2,4,2020-05-16,2
5,5,7,2020-05-17,5
1,1,3,2020-05-18,1
2,2,4,2020-05-19,2
3,3,5,2020-05-20,3
3,3,5,2020-05-21,3
0,0,1,2020-05-22,NA
0,0,1,2020-05-23,NA
0,0,1,2020-05-24,NA
1,1,2,2020-05-25,1
1,1,3,2020-05-26,1
0,0,1,2020-05-27,NA
2,2,4,2020-05-28,2
1,1,3,2020-05-29,1
1,1,3,2020-05-30,1
1,1,3,2020-05-31,1
4,4,6,2020-06-01,4
3,3,6,2020-06-02,3
1,1,4,2020-06-03,1
1,1,4,2020-06-04,1
0,0,3,2020-06-05,NA
3,2,6,2020-06-06,2
3,2,6,2020-06-07,2
2,1,6,2020-06-08,1
1,0,5,2020-06-09,NA
4,2,8,2020-06-10,2
2,0,7,2020-06-11,NA
2,0,7,2020-06-12,NA
2,0,8,2020-06-13,NA
2,0,9,2020-06-14,NA
2,0,9,2020-06-15,NA
2,0,9,2020-06-16,NA
2,0,9,2020-06-17,NA
2,0,10,2020-06-18,NA
2,0,10,2020-06-19,NA
