"dt_sin_pri","n.casos"
2019-12-29,1
2019-12-30,1
2019-12-31,3
2020-01-01,5
2020-01-02,2
2020-01-05,3
2020-01-06,2
2020-01-07,2
2020-01-08,1
2020-01-10,3
2020-01-11,2
2020-01-12,3
2020-01-13,3
2020-01-14,1
2020-01-15,2
2020-01-16,3
2020-01-17,2
2020-01-18,2
2020-01-19,2
2020-01-20,3
2020-01-21,1
2020-01-22,4
2020-01-23,2
2020-01-24,2
2020-01-25,1
2020-01-27,1
2020-01-28,3
2020-01-29,1
2020-01-30,3
2020-01-31,3
2020-02-01,6
2020-02-02,2
2020-02-03,3
2020-02-04,3
2020-02-05,3
2020-02-06,2
2020-02-07,2
2020-02-09,2
2020-02-11,4
2020-02-12,2
2020-02-13,1
2020-02-14,2
2020-02-15,2
2020-02-16,3
2020-02-17,3
2020-02-18,2
2020-02-19,3
2020-02-21,1
2020-02-22,1
2020-02-23,3
2020-02-24,4
2020-02-26,8
2020-02-27,2
2020-02-28,3
2020-02-29,5
2020-03-01,9
2020-03-02,4
2020-03-03,4
2020-03-04,4
2020-03-05,4
2020-03-06,9
2020-03-07,7
2020-03-08,7
2020-03-09,8
2020-03-10,17
2020-03-11,4
2020-03-12,8
2020-03-13,12
2020-03-14,14
2020-03-15,30
2020-03-16,30
2020-03-17,21
2020-03-18,24
2020-03-19,29
2020-03-20,44
2020-03-21,25
2020-03-22,29
2020-03-23,42
2020-03-24,24
2020-03-25,17
2020-03-26,31
2020-03-27,24
2020-03-28,24
2020-03-29,28
2020-03-30,31
2020-03-31,25
2020-04-01,32
2020-04-02,35
2020-04-03,32
2020-04-04,28
2020-04-05,38
2020-04-06,31
2020-04-07,26
2020-04-08,26
2020-04-09,22
2020-04-10,23
2020-04-11,21
2020-04-12,26
2020-04-13,26
2020-04-14,18
2020-04-15,33
2020-04-16,23
2020-04-17,14
2020-04-18,24
2020-04-19,23
2020-04-20,43
2020-04-21,32
2020-04-22,21
2020-04-23,29
2020-04-24,21
2020-04-25,33
2020-04-26,33
2020-04-27,35
2020-04-28,29
2020-04-29,23
2020-04-30,33
2020-05-01,35
2020-05-02,22
2020-05-03,21
2020-05-04,30
2020-05-05,30
2020-05-06,33
2020-05-07,32
2020-05-08,26
2020-05-09,30
2020-05-10,55
2020-05-11,26
2020-05-12,28
2020-05-13,26
2020-05-14,29
2020-05-15,32
2020-05-16,31
2020-05-17,37
2020-05-18,28
2020-05-19,43
2020-05-20,42
2020-05-21,24
2020-05-22,36
2020-05-23,28
2020-05-24,22
2020-05-25,51
2020-05-26,41
2020-05-27,42
2020-05-28,45
2020-05-29,47
2020-05-30,42
2020-05-31,45
2020-06-01,86
2020-06-02,41
2020-06-03,54
2020-06-04,40
2020-06-05,68
2020-06-06,38
2020-06-07,45
2020-06-08,78
2020-06-09,48
2020-06-10,83
2020-06-11,57
2020-06-12,70
2020-06-13,66
2020-06-14,45
2020-06-15,65
2020-06-16,87
2020-06-17,65
2020-06-18,78
2020-06-19,80
2020-06-20,88
2020-06-21,58
2020-06-22,91
2020-06-23,82
2020-06-24,78
2020-06-25,75
2020-06-26,89
2020-06-27,53
2020-06-28,84
2020-06-29,66
2020-06-30,79
2020-07-01,126
2020-07-02,97
2020-07-03,92
2020-07-04,83
2020-07-05,75
2020-07-06,90
2020-07-07,87
2020-07-08,81
2020-07-09,73
2020-07-10,72
2020-07-11,50
2020-07-12,66
2020-07-13,50
2020-07-14,32
2020-07-15,29
2020-07-16,34
2020-07-17,20
2020-07-18,18
2020-07-19,11
2020-07-20,3
