"dt_notific","n.notific"
2020-03-20,1
2020-03-21,2
2020-03-26,1
2020-03-27,1
2020-03-29,1
2020-03-31,2
2020-04-02,2
2020-04-06,2
2020-04-07,1
2020-04-08,1
2020-04-09,2
2020-04-10,1
2020-04-11,1
2020-04-13,2
2020-04-14,1
2020-04-15,2
2020-04-18,2
2020-04-19,1
2020-04-20,2
2020-04-21,1
2020-04-22,2
2020-04-23,1
2020-04-24,3
2020-04-25,1
2020-04-26,2
2020-04-27,2
2020-04-28,5
2020-04-29,3
2020-05-01,2
2020-05-02,3
2020-05-03,3
2020-05-04,1
2020-05-05,4
2020-05-06,4
2020-05-07,2
2020-05-08,2
2020-05-09,2
2020-05-10,4
2020-05-11,3
2020-05-12,9
2020-05-13,2
2020-05-14,3
2020-05-15,6
2020-05-16,4
2020-05-18,3
2020-05-19,5
2020-05-21,2
2020-05-22,4
2020-05-23,1
2020-05-24,1
2020-05-25,3
2020-05-26,5
2020-05-27,1
2020-05-28,2
2020-05-29,1
2020-05-30,1
2020-06-01,3
2020-06-02,2
2020-06-03,2
2020-06-04,2
2020-06-05,1
2020-06-06,2
2020-06-08,2
2020-06-09,2
2020-06-10,1
2020-06-11,1
2020-06-16,1
2020-06-20,1
