"dt_evoluca","n.casos"
2020-03-23,1
2020-03-24,1
2020-03-30,1
2020-03-31,1
2020-04-04,2
2020-04-08,1
2020-04-09,1
2020-04-10,2
2020-04-12,3
2020-04-13,4
2020-04-16,1
2020-04-17,1
2020-04-18,1
2020-04-19,1
2020-04-20,1
2020-04-21,3
2020-04-22,2
2020-04-24,3
2020-04-26,1
2020-04-27,1
2020-04-28,1
2020-04-29,3
2020-04-30,2
2020-05-01,4
2020-05-02,1
2020-05-04,3
2020-05-05,5
2020-05-06,3
2020-05-07,4
2020-05-08,6
2020-05-09,5
2020-05-10,5
2020-05-11,3
2020-05-12,2
2020-05-13,2
2020-05-14,8
2020-05-15,7
2020-05-16,7
2020-05-17,5
2020-05-18,6
2020-05-19,3
2020-05-20,5
2020-05-21,6
2020-05-22,7
2020-05-23,4
2020-05-24,6
2020-05-25,9
2020-05-26,9
2020-05-27,5
2020-05-28,2
2020-05-29,10
2020-05-30,6
2020-05-31,3
2020-06-01,4
2020-06-02,6
2020-06-03,6
2020-06-04,11
2020-06-05,4
2020-06-06,3
2020-06-07,3
2020-06-08,8
2020-06-09,7
2020-06-10,1
2020-06-11,6
2020-06-12,6
2020-06-13,4
2020-06-14,4
2020-06-15,3
2020-06-16,2
2020-06-17,1
2020-06-18,1
2020-06-19,1
2020-06-20,3
2020-06-21,2
2020-06-22,1
