"dt_evoluca","n.casos"
2020-01-25,1
2020-02-10,1
2020-02-23,1
2020-02-29,1
2020-03-03,1
2020-03-04,1
2020-03-10,1
2020-03-18,1
2020-03-20,4
2020-03-21,1
2020-03-22,1
2020-03-23,1
2020-03-24,2
2020-03-25,4
2020-03-26,1
2020-03-28,1
2020-03-30,2
2020-03-31,2
2020-04-03,1
2020-04-04,2
2020-04-08,2
2020-04-09,2
2020-04-10,5
2020-04-12,3
2020-04-13,8
2020-04-14,2
2020-04-15,2
2020-04-16,1
2020-04-17,3
2020-04-18,2
2020-04-19,2
2020-04-20,1
2020-04-21,3
2020-04-22,4
2020-04-23,1
2020-04-24,4
2020-04-25,1
2020-04-26,6
2020-04-27,4
2020-04-28,2
2020-04-29,5
2020-04-30,2
2020-05-01,5
2020-05-02,3
2020-05-03,1
2020-05-04,5
2020-05-05,5
2020-05-06,5
2020-05-07,5
2020-05-08,9
2020-05-09,7
2020-05-10,8
2020-05-11,6
2020-05-12,5
2020-05-13,3
2020-05-14,13
2020-05-15,10
2020-05-16,11
2020-05-17,6
2020-05-18,8
2020-05-19,8
2020-05-20,8
2020-05-21,6
2020-05-22,11
2020-05-23,5
2020-05-24,8
2020-05-25,12
2020-05-26,10
2020-05-27,7
2020-05-28,8
2020-05-29,13
2020-05-30,10
2020-05-31,6
2020-06-01,6
2020-06-02,10
2020-06-03,11
2020-06-04,13
2020-06-05,7
2020-06-06,4
2020-06-07,5
2020-06-08,8
2020-06-09,9
2020-06-10,2
2020-06-11,8
2020-06-12,6
2020-06-13,4
2020-06-14,5
2020-06-15,6
2020-06-16,3
2020-06-17,3
2020-06-18,4
2020-06-19,7
2020-06-20,3
2020-06-21,2
2020-06-22,5
2020-06-23,3
2020-06-24,3
2020-06-25,1
2020-06-26,7
2020-06-27,3
2020-06-28,10
2020-06-29,1
