"dt_notific","n.notific"
2020-03-18,2
2020-03-20,1
2020-03-22,1
2020-03-23,3
2020-03-24,3
2020-03-27,2
2020-03-29,2
2020-03-30,3
2020-03-31,1
2020-04-01,2
2020-04-02,2
2020-04-03,1
2020-04-04,4
2020-04-05,3
2020-04-06,4
2020-04-07,3
2020-04-08,2
2020-04-09,1
2020-04-10,4
2020-04-11,4
2020-04-12,2
2020-04-13,6
2020-04-14,3
2020-04-15,4
2020-04-16,3
2020-04-17,6
2020-04-18,5
2020-04-19,2
2020-04-20,11
2020-04-21,8
2020-04-22,3
2020-04-23,8
2020-04-24,9
2020-04-25,6
2020-04-26,3
2020-04-27,12
2020-04-28,10
2020-04-29,14
2020-04-30,12
2020-05-01,10
2020-05-02,10
2020-05-03,6
2020-05-04,9
2020-05-05,17
2020-05-06,12
2020-05-07,14
2020-05-08,14
2020-05-09,13
2020-05-10,8
2020-05-11,19
2020-05-12,14
2020-05-13,17
2020-05-14,17
2020-05-15,17
2020-05-16,9
2020-05-17,2
2020-05-18,17
2020-05-19,15
2020-05-20,14
2020-05-21,12
2020-05-22,11
2020-05-23,2
2020-05-24,5
2020-05-25,13
2020-05-26,11
2020-05-27,12
2020-05-28,16
2020-05-29,11
2020-05-30,4
2020-05-31,5
2020-06-01,9
2020-06-02,8
2020-06-03,9
2020-06-04,8
2020-06-05,8
2020-06-06,7
2020-06-07,5
2020-06-08,5
2020-06-10,11
2020-06-11,1
2020-06-12,5
2020-06-13,3
2020-06-14,5
2020-06-15,2
2020-06-17,5
2020-06-18,6
2020-06-19,4
2020-06-20,1
2020-06-22,1
2020-06-23,2
2020-06-25,2
2020-06-26,1
2020-06-27,1
2020-07-01,1
