"dt_evoluca","n.casos"
2020-03-21,1
2020-03-24,1
2020-03-25,1
2020-03-26,1
2020-03-27,3
2020-03-28,3
2020-03-29,2
2020-03-30,1
2020-03-31,3
2020-04-01,4
2020-04-02,3
2020-04-03,2
2020-04-04,4
2020-04-05,9
2020-04-06,2
2020-04-08,2
2020-04-09,3
2020-04-10,4
2020-04-11,5
2020-04-12,4
2020-04-13,5
2020-04-14,3
2020-04-15,2
2020-04-16,9
2020-04-17,5
2020-04-18,2
2020-04-19,8
2020-04-20,8
2020-04-21,8
2020-04-22,5
2020-04-23,11
2020-04-24,7
2020-04-25,9
2020-04-26,6
2020-04-27,9
2020-04-28,4
2020-04-29,7
2020-04-30,10
2020-05-01,6
2020-05-02,12
2020-05-03,6
2020-05-04,6
2020-05-05,14
2020-05-06,13
2020-05-07,13
2020-05-08,12
2020-05-09,5
2020-05-10,20
2020-05-11,8
2020-05-12,6
2020-05-13,13
2020-05-14,14
2020-05-15,11
2020-05-16,16
2020-05-17,11
2020-05-18,13
2020-05-19,8
2020-05-20,7
2020-05-21,9
2020-05-22,16
2020-05-23,12
2020-05-24,8
2020-05-25,10
2020-05-26,9
2020-05-27,8
2020-05-28,4
2020-05-29,13
2020-05-30,15
2020-05-31,8
2020-06-01,8
2020-06-03,3
2020-06-04,2
2020-06-06,1
