"dt_sin_pri","n.casos"
2019-12-31,1
2020-01-04,1
2020-01-10,1
2020-01-25,2
2020-02-01,1
2020-02-03,1
2020-02-11,1
2020-02-16,1
2020-02-18,1
2020-02-20,2
2020-02-21,1
2020-02-22,1
2020-02-23,1
2020-02-25,1
2020-02-26,2
2020-02-27,4
2020-03-01,9
2020-03-02,3
2020-03-03,2
2020-03-04,1
2020-03-05,3
2020-03-06,3
2020-03-07,2
2020-03-08,3
2020-03-09,7
2020-03-10,4
2020-03-11,7
2020-03-12,6
2020-03-13,11
2020-03-14,14
2020-03-15,12
2020-03-16,17
2020-03-17,28
2020-03-18,18
2020-03-19,26
2020-03-20,49
2020-03-21,25
2020-03-22,17
2020-03-23,53
2020-03-24,34
2020-03-25,36
2020-03-26,41
2020-03-27,40
2020-03-28,36
2020-03-29,27
2020-03-30,37
2020-03-31,31
2020-04-01,50
2020-04-02,33
2020-04-03,34
2020-04-04,44
2020-04-05,36
2020-04-06,28
2020-04-07,44
2020-04-08,42
2020-04-09,36
2020-04-10,57
2020-04-11,35
2020-04-12,53
2020-04-13,54
2020-04-14,49
2020-04-15,48
2020-04-16,35
2020-04-17,38
2020-04-18,51
2020-04-19,62
2020-04-20,92
2020-04-21,54
2020-04-22,66
2020-04-23,65
2020-04-24,62
2020-04-25,56
2020-04-26,63
2020-04-27,63
2020-04-28,69
2020-04-29,46
2020-04-30,88
2020-05-01,100
2020-05-02,77
2020-05-03,51
2020-05-04,62
2020-05-05,68
2020-05-06,47
2020-05-07,71
2020-05-08,82
2020-05-09,78
2020-05-10,96
2020-05-11,60
2020-05-12,65
2020-05-13,59
2020-05-14,52
2020-05-15,72
2020-05-16,66
2020-05-17,57
2020-05-18,78
2020-05-19,73
2020-05-20,76
2020-05-21,46
2020-05-22,73
2020-05-23,42
2020-05-24,48
2020-05-25,71
2020-05-26,40
2020-05-27,52
2020-05-28,35
2020-05-29,31
2020-05-30,46
2020-05-31,37
2020-06-01,56
2020-06-02,25
2020-06-03,29
2020-06-04,29
2020-06-05,16
2020-06-06,13
2020-06-07,20
2020-06-08,25
2020-06-09,20
2020-06-10,15
2020-06-11,12
2020-06-12,9
2020-06-13,9
2020-06-14,3
2020-06-15,3
2020-06-16,3
2020-06-17,1
2020-06-18,2
