"dt_notific","n.notific"
2020-03-15,1
2020-03-19,1
2020-03-20,1
2020-03-21,2
2020-03-23,1
2020-03-24,5
2020-03-25,1
2020-03-26,3
2020-03-27,3
2020-03-28,1
2020-03-29,2
2020-03-30,4
2020-03-31,2
2020-04-01,1
2020-04-02,2
2020-04-03,1
2020-04-05,3
2020-04-06,1
2020-04-07,3
2020-04-09,3
2020-04-11,3
2020-04-12,1
2020-04-13,3
2020-04-14,3
2020-04-15,5
2020-04-16,3
2020-04-17,3
2020-04-18,1
2020-04-19,2
2020-04-20,5
2020-04-21,3
2020-04-22,6
2020-04-23,3
2020-04-24,4
2020-04-25,2
2020-04-26,2
2020-04-27,4
2020-04-28,4
2020-04-29,2
2020-04-30,6
2020-05-01,2
2020-05-02,1
2020-05-03,4
2020-05-04,12
2020-05-05,7
2020-05-06,3
2020-05-07,4
2020-05-08,2
2020-05-09,3
2020-05-10,4
2020-05-11,3
2020-05-12,2
2020-05-13,4
2020-05-14,4
2020-05-15,1
2020-05-16,2
2020-05-18,1
2020-05-19,2
2020-05-20,1
2020-05-21,3
2020-05-22,2
2020-05-23,2
2020-05-24,2
2020-05-25,1
2020-05-28,1
2020-05-29,1
2020-05-30,1
2020-05-31,1
2020-06-03,1
2020-06-04,1
