"estimate","lower","upper","onset_date","n.reported"
1,1,1,2020-05-03,NA
0,0,0,2020-05-04,NA
0,0,0,2020-05-05,1
0,0,0,2020-05-06,NA
1,1,1,2020-05-07,NA
0,0,0,2020-05-08,NA
0,0,0,2020-05-09,1
0,0,0,2020-05-10,NA
0,0,0,2020-05-11,NA
0,0,0,2020-05-12,NA
0,0,0,2020-05-13,NA
1,1,1,2020-05-14,NA
1,1,1,2020-05-15,NA
0,0,0,2020-05-16,1
1,1,1,2020-05-17,1
1,1,1,2020-05-18,NA
1,1,1,2020-05-19,1
0,0,1,2020-05-20,1
0,0,1,2020-05-21,1
0,0,1,2020-05-22,NA
0,0,1,2020-05-23,NA
0,0,1,2020-05-24,NA
1,1,2,2020-05-25,NA
1,1,2,2020-05-26,NA
1,1,2,2020-05-27,1
2,2,3,2020-05-28,1
0,0,1,2020-05-29,1
1,1,2,2020-05-30,2
3,3,4,2020-05-31,NA
2,2,3,2020-06-01,1
1,1,2,2020-06-02,3
0,0,1,2020-06-03,2
0,0,1,2020-06-04,1
3,3,4,2020-06-05,NA
1,1,3,2020-06-06,NA
0,0,1,2020-06-07,3
1,1,3,2020-06-08,1
0,0,2,2020-06-09,NA
0,0,2,2020-06-10,1
0,0,3,2020-06-11,NA
