"estimate","lower","upper","onset_date","n.reported"
1,1,1,2020-05-16,1
1,1,1,2020-05-17,1
0,0,0,2020-05-18,NA
1,1,1,2020-05-19,1
1,1,1,2020-05-20,1
1,1,1,2020-05-21,1
0,0,0,2020-05-22,NA
0,0,0,2020-05-23,NA
0,0,0,2020-05-24,NA
0,0,0,2020-05-25,NA
0,0,0,2020-05-26,NA
1,1,1,2020-05-27,1
1,1,1,2020-05-28,1
1,1,1,2020-05-29,1
2,2,3,2020-05-30,2
0,0,1,2020-05-31,NA
1,1,2,2020-06-01,1
3,3,4,2020-06-02,3
2,2,3,2020-06-03,2
1,1,2,2020-06-04,1
0,0,1,2020-06-05,NA
0,0,1,2020-06-06,NA
3,3,4,2020-06-07,3
1,1,2,2020-06-08,1
0,0,1,2020-06-09,NA
1,1,2,2020-06-10,1
0,0,1,2020-06-11,NA
2,2,3,2020-06-12,2
4,4,5,2020-06-13,4
5,5,6,2020-06-14,5
1,1,2,2020-06-15,1
2,2,3,2020-06-16,2
0,0,2,2020-06-17,NA
2,2,4,2020-06-18,2
0,0,2,2020-06-19,NA
1,1,3,2020-06-20,1
1,1,4,2020-06-21,1
4,3,7,2020-06-22,3
1,0,4,2020-06-23,NA
2,1,7,2020-06-24,1
