"estimate","lower","upper","onset_date","n.reported"
2,2,2,2020-05-27,2
4,4,4,2020-05-28,4
2,2,2,2020-05-29,2
1,1,1,2020-05-30,1
0,0,0,2020-05-31,NA
3,3,3,2020-06-01,3
4,4,4,2020-06-02,4
2,2,2,2020-06-03,2
4,4,4,2020-06-04,4
6,6,6,2020-06-05,6
2,2,2,2020-06-06,2
3,3,3,2020-06-07,3
4,4,4,2020-06-08,4
0,0,0,2020-06-09,NA
4,4,4,2020-06-10,4
3,3,4,2020-06-11,3
4,4,5,2020-06-12,4
8,8,9,2020-06-13,8
3,3,4,2020-06-14,3
4,4,5,2020-06-15,4
4,4,5,2020-06-16,4
3,3,4,2020-06-17,3
3,3,4,2020-06-18,3
2,2,3,2020-06-19,2
3,3,4,2020-06-20,3
3,3,4,2020-06-21,3
6,6,7,2020-06-22,6
1,1,2,2020-06-23,1
4,4,6,2020-06-24,4
1,1,3,2020-06-25,1
2,2,4,2020-06-26,2
0,0,2,2020-06-27,NA
1,1,4,2020-06-28,1
2,1,4,2020-06-29,1
4,3,6,2020-06-30,3
4,3,7,2020-07-01,3
2,1,5,2020-07-02,1
2,1,6,2020-07-03,1
2,0,5,2020-07-04,NA
4,2,8,2020-07-05,2
