"dt_notific","n.notific"
2020-01-09,1
2020-01-13,1
2020-01-17,2
2020-01-24,1
2020-01-30,2
2020-02-03,3
2020-02-05,1
2020-02-07,1
2020-02-10,2
2020-02-12,1
2020-02-14,1
2020-02-17,3
2020-02-18,1
2020-02-19,2
2020-02-20,4
2020-02-21,2
2020-02-25,1
2020-02-26,3
2020-02-27,2
2020-02-28,2
2020-02-29,1
2020-03-02,3
2020-03-03,2
2020-03-04,3
2020-03-05,3
2020-03-06,4
2020-03-09,6
2020-03-10,2
2020-03-11,2
2020-03-12,1
2020-03-13,3
2020-03-14,1
2020-03-15,2
2020-03-16,8
2020-03-17,7
2020-03-18,6
2020-03-19,6
2020-03-20,14
2020-03-21,13
2020-03-22,7
2020-03-23,17
2020-03-24,17
2020-03-25,13
2020-03-26,21
2020-03-27,12
2020-03-28,6
2020-03-29,8
2020-03-30,22
2020-03-31,15
2020-04-01,11
2020-04-02,14
2020-04-03,21
2020-04-04,8
2020-04-05,12
2020-04-06,18
2020-04-07,13
2020-04-08,7
2020-04-09,6
2020-04-10,11
2020-04-11,11
2020-04-12,6
2020-04-13,11
2020-04-14,11
2020-04-15,14
2020-04-16,20
2020-04-17,11
2020-04-18,8
2020-04-19,11
2020-04-20,15
2020-04-21,10
2020-04-22,21
2020-04-23,24
2020-04-24,18
2020-04-25,8
2020-04-26,15
2020-04-27,27
2020-04-28,24
2020-04-29,15
2020-04-30,26
2020-05-01,19
2020-05-02,14
2020-05-03,18
2020-05-04,32
2020-05-05,38
2020-05-06,32
2020-05-07,45
2020-05-08,33
2020-05-09,23
2020-05-10,30
2020-05-11,26
2020-05-12,31
2020-05-13,44
2020-05-14,54
2020-05-15,25
2020-05-16,30
2020-05-17,29
2020-05-18,43
2020-05-19,40
2020-05-20,39
2020-05-21,44
2020-05-22,32
2020-05-23,37
2020-05-24,31
2020-05-25,65
2020-05-26,41
2020-05-27,40
2020-05-28,42
2020-05-29,38
2020-05-30,38
2020-05-31,37
2020-06-01,55
2020-06-02,48
2020-06-03,36
2020-06-04,41
2020-06-05,49
2020-06-06,30
2020-06-07,22
2020-06-08,37
2020-06-09,33
2020-06-10,37
2020-06-11,36
2020-06-12,23
2020-06-13,18
2020-06-14,13
2020-06-15,15
2020-06-16,2
