"dt_evoluca","n.casos"
2020-05-02,1
2020-05-03,3
2020-05-06,3
2020-05-08,1
2020-05-10,1
2020-05-11,1
2020-05-12,1
2020-05-13,2
2020-05-14,1
2020-05-15,1
2020-05-17,3
2020-05-19,2
2020-05-20,1
2020-05-21,3
2020-05-22,1
2020-05-23,2
2020-05-24,7
2020-05-25,6
2020-05-26,2
2020-05-27,5
2020-05-28,7
2020-05-29,6
2020-05-30,4
2020-05-31,5
2020-06-01,3
2020-06-02,8
2020-06-03,4
2020-06-04,8
2020-06-05,8
2020-06-06,6
2020-06-07,2
2020-06-08,4
2020-06-09,4
2020-06-10,2
2020-06-11,2
2020-06-12,1
2020-06-13,2
2020-06-14,6
2020-06-15,2
