"dt_notific","n.notific"
2019-12-30,1
2020-01-05,1
2020-01-07,1
2020-01-08,1
2020-01-09,8
2020-01-11,1
2020-01-12,2
2020-01-14,1
2020-01-16,1
2020-01-18,1
2020-01-19,1
2020-01-21,2
2020-01-23,1
2020-01-24,1
2020-01-26,1
2020-01-27,1
2020-01-29,4
2020-02-01,2
2020-02-03,1
2020-02-05,2
2020-02-06,3
2020-02-07,3
2020-02-08,2
2020-02-09,2
2020-02-10,1
2020-02-11,2
2020-02-12,1
2020-02-13,2
2020-02-14,1
2020-02-16,2
2020-02-18,1
2020-02-19,3
2020-02-20,2
2020-02-21,1
2020-02-22,1
2020-02-23,1
2020-02-24,1
2020-02-26,2
2020-02-27,3
2020-02-28,1
2020-02-29,1
2020-03-01,2
2020-03-02,4
2020-03-03,2
2020-03-04,3
2020-03-05,2
2020-03-06,1
2020-03-07,1
2020-03-08,6
2020-03-09,5
2020-03-10,4
2020-03-11,1
2020-03-12,9
2020-03-13,8
2020-03-14,9
2020-03-15,2
2020-03-16,14
2020-03-17,17
2020-03-18,15
2020-03-19,19
2020-03-20,25
2020-03-21,25
2020-03-22,11
2020-03-23,27
2020-03-24,23
2020-03-25,27
2020-03-26,35
2020-03-27,31
2020-03-28,25
2020-03-29,30
2020-03-30,38
2020-03-31,30
2020-04-01,33
2020-04-02,40
2020-04-03,19
2020-04-04,30
2020-04-05,17
2020-04-06,22
2020-04-07,28
2020-04-08,29
2020-04-09,25
2020-04-10,17
2020-04-11,15
2020-04-12,12
2020-04-13,19
2020-04-14,27
2020-04-15,30
2020-04-16,29
2020-04-17,22
2020-04-18,19
2020-04-19,22
2020-04-20,26
2020-04-21,26
2020-04-22,23
2020-04-23,24
2020-04-24,21
2020-04-25,10
2020-04-26,12
2020-04-27,32
2020-04-28,32
2020-04-29,35
2020-04-30,30
2020-05-01,19
2020-05-02,22
2020-05-03,16
2020-05-04,38
2020-05-05,21
2020-05-06,35
2020-05-07,53
2020-05-08,44
2020-05-09,17
2020-05-10,29
2020-05-11,34
2020-05-12,48
2020-05-13,34
2020-05-14,44
2020-05-15,46
2020-05-16,37
2020-05-17,29
2020-05-18,65
2020-05-19,42
2020-05-20,38
2020-05-21,45
2020-05-22,34
2020-05-23,48
2020-05-24,38
2020-05-25,34
2020-05-26,59
2020-05-27,38
2020-05-28,41
2020-05-29,40
2020-05-30,22
2020-05-31,22
2020-06-01,57
2020-06-02,52
2020-06-03,55
2020-06-04,42
2020-06-05,51
2020-06-06,35
2020-06-07,39
2020-06-08,47
2020-06-09,42
2020-06-10,44
2020-06-11,59
2020-06-12,46
2020-06-13,47
2020-06-14,30
2020-06-15,47
2020-06-16,60
2020-06-17,53
2020-06-18,61
2020-06-19,36
2020-06-20,36
2020-06-21,23
2020-06-22,56
2020-06-23,63
2020-06-24,48
2020-06-25,43
2020-06-26,38
2020-06-27,30
2020-06-28,32
2020-06-29,64
2020-06-30,29
2020-07-01,22
