"estimate","lower","upper","onset_date","n.reported"
1,1,1,2020-05-20,1
2,2,2,2020-05-21,2
1,1,1,2020-05-22,1
2,2,2,2020-05-23,2
2,2,2,2020-05-24,2
1,1,1,2020-05-25,1
1,1,1,2020-05-26,1
4,4,4,2020-05-27,4
2,2,2,2020-05-28,2
6,6,6,2020-05-29,6
3,3,3,2020-05-30,3
0,0,0,2020-05-31,NA
2,2,2,2020-06-01,2
0,0,0,2020-06-02,NA
5,5,5,2020-06-03,5
1,1,2,2020-06-04,1
3,3,4,2020-06-05,3
2,2,3,2020-06-06,2
1,1,2,2020-06-07,1
2,2,3,2020-06-08,2
1,1,2,2020-06-09,1
4,4,5,2020-06-10,4
0,0,1,2020-06-11,NA
2,2,3,2020-06-12,2
2,2,3,2020-06-13,2
1,1,2,2020-06-14,1
1,1,3,2020-06-15,1
4,4,6,2020-06-16,4
4,4,6,2020-06-17,4
1,1,3,2020-06-18,1
3,3,5,2020-06-19,3
4,4,6,2020-06-20,4
3,3,6,2020-06-21,3
6,5,8,2020-06-22,5
7,6,10,2020-06-23,6
1,0,4,2020-06-24,NA
3,1,6,2020-06-25,1
5,3,9,2020-06-26,3
2,0,7,2020-06-27,NA
2,0,7,2020-06-28,NA
