"dt_notific","n.notific"
2020-03-14,1
2020-03-18,1
2020-03-19,1
2020-03-21,2
2020-03-23,2
2020-03-24,2
2020-03-25,2
2020-03-26,2
2020-03-27,3
2020-03-28,2
2020-03-29,5
2020-03-30,6
2020-03-31,3
2020-04-01,4
2020-04-02,3
2020-04-03,2
2020-04-04,2
2020-04-05,1
2020-04-06,2
2020-04-07,3
2020-04-08,2
2020-04-09,3
2020-04-10,1
2020-04-11,4
2020-04-12,1
2020-04-13,3
2020-04-14,2
2020-04-15,4
2020-04-16,4
2020-04-17,1
2020-04-18,6
2020-04-19,1
2020-04-20,5
2020-04-21,4
2020-04-22,5
2020-04-23,4
2020-04-24,4
2020-04-25,3
2020-04-26,7
2020-04-27,3
2020-04-28,5
2020-04-29,6
2020-04-30,6
2020-05-01,6
2020-05-02,3
2020-05-03,3
2020-05-04,9
2020-05-05,9
2020-05-06,5
2020-05-07,9
2020-05-08,8
2020-05-09,5
2020-05-10,3
2020-05-11,11
2020-05-12,11
2020-05-14,8
2020-05-15,9
2020-05-16,1
2020-05-17,4
2020-05-18,8
2020-05-19,6
2020-05-20,5
2020-05-21,9
2020-05-22,12
2020-05-23,5
2020-05-24,6
2020-05-25,9
2020-05-26,9
2020-05-27,12
2020-05-28,6
2020-05-29,6
2020-05-30,5
2020-05-31,10
2020-06-01,8
2020-06-02,6
2020-06-03,4
2020-06-04,3
2020-06-05,5
2020-06-06,3
2020-06-07,3
2020-06-08,5
2020-06-09,6
2020-06-10,9
2020-06-11,4
2020-06-12,7
2020-06-13,3
2020-06-14,3
2020-06-15,7
2020-06-16,3
2020-06-17,3
2020-06-18,2
2020-06-19,5
2020-06-20,6
2020-06-21,3
2020-06-22,7
2020-06-23,3
2020-06-24,5
2020-06-25,1
2020-06-26,3
2020-06-27,4
2020-06-28,1
2020-06-29,1
2020-06-30,3
2020-07-02,3
2020-07-03,2
