"dt_notific","n.notific"
2020-01-28,1
2020-02-03,1
2020-03-18,1
2020-03-20,1
2020-03-21,1
2020-03-26,2
2020-03-27,1
2020-03-30,1
2020-04-01,1
2020-04-02,3
2020-04-03,1
2020-04-08,1
2020-04-11,2
2020-04-13,1
2020-04-14,1
2020-04-15,3
2020-04-16,3
2020-04-22,1
2020-04-23,1
2020-04-26,1
2020-04-27,1
2020-04-30,1
2020-05-03,2
2020-05-04,1
2020-05-05,1
2020-05-06,2
2020-05-07,2
2020-05-09,1
2020-05-10,2
2020-05-13,1
2020-05-15,1
2020-05-19,1
2020-05-21,1
2020-05-22,1
2020-05-24,2
2020-05-25,1
2020-05-27,1
2020-05-28,1
