"dt_sin_pri","n.casos"
2019-12-29,1
2019-12-30,1
2019-12-31,2
2020-01-01,1
2020-01-02,3
2020-01-03,4
2020-01-04,2
2020-01-05,2
2020-01-06,1
2020-01-07,1
2020-01-08,3
2020-01-09,2
2020-01-10,1
2020-01-11,2
2020-01-12,3
2020-01-13,1
2020-01-14,2
2020-01-15,1
2020-01-17,1
2020-01-19,1
2020-01-20,2
2020-01-21,2
2020-01-22,2
2020-01-23,3
2020-01-24,3
2020-01-25,1
2020-01-27,1
2020-01-28,1
2020-01-29,1
2020-01-30,1
2020-01-31,2
2020-02-02,1
2020-02-03,2
2020-02-04,3
2020-02-05,2
2020-02-06,3
2020-02-07,1
2020-02-09,2
2020-02-10,4
2020-02-11,2
2020-02-12,2
2020-02-13,1
2020-02-14,7
2020-02-15,5
2020-02-16,2
2020-02-17,5
2020-02-18,1
2020-02-19,5
2020-02-20,4
2020-02-21,5
2020-02-22,3
2020-02-23,4
2020-02-24,10
2020-02-25,3
2020-02-26,4
2020-02-27,3
2020-02-28,4
2020-02-29,7
2020-03-01,5
2020-03-02,7
2020-03-03,2
2020-03-04,5
2020-03-05,11
2020-03-06,7
2020-03-07,10
2020-03-08,12
2020-03-09,16
2020-03-10,28
2020-03-11,13
2020-03-12,27
2020-03-13,24
2020-03-14,33
2020-03-15,37
2020-03-16,45
2020-03-17,40
2020-03-18,53
2020-03-19,62
2020-03-20,72
2020-03-21,64
2020-03-22,64
2020-03-23,69
2020-03-24,60
2020-03-25,58
2020-03-26,45
2020-03-27,59
2020-03-28,53
2020-03-29,49
2020-03-30,49
2020-03-31,54
2020-04-01,63
2020-04-02,45
2020-04-03,59
2020-04-04,49
2020-04-05,56
2020-04-06,51
2020-04-07,48
2020-04-08,45
2020-04-09,41
2020-04-10,49
2020-04-11,43
2020-04-12,47
2020-04-13,50
2020-04-14,51
2020-04-15,55
2020-04-16,46
2020-04-17,63
2020-04-18,56
2020-04-19,47
2020-04-20,89
2020-04-21,44
2020-04-22,68
2020-04-23,65
2020-04-24,49
2020-04-25,64
2020-04-26,43
2020-04-27,72
2020-04-28,59
2020-04-29,53
2020-04-30,80
2020-05-01,95
2020-05-02,68
2020-05-03,72
2020-05-04,99
2020-05-05,75
2020-05-06,59
2020-05-07,74
2020-05-08,72
2020-05-09,75
2020-05-10,93
2020-05-11,82
2020-05-12,90
2020-05-13,102
2020-05-14,104
2020-05-15,116
2020-05-16,90
2020-05-17,88
2020-05-18,116
2020-05-19,101
2020-05-20,92
2020-05-21,83
2020-05-22,101
2020-05-23,89
2020-05-24,96
2020-05-25,116
2020-05-26,82
2020-05-27,74
2020-05-28,86
2020-05-29,93
2020-05-30,114
2020-05-31,114
2020-06-01,162
2020-06-02,126
2020-06-03,101
2020-06-04,84
2020-06-05,103
2020-06-06,96
2020-06-07,67
2020-06-08,68
2020-06-09,48
2020-06-10,38
2020-06-11,34
2020-06-12,24
2020-06-13,10
2020-06-14,7
