"dt_notific","n.notific"
2020-03-13,1
2020-03-14,1
2020-03-17,1
2020-03-18,3
2020-03-19,5
2020-03-20,13
2020-03-21,2
2020-03-22,1
2020-03-23,8
2020-03-24,9
2020-03-25,5
2020-03-26,8
2020-03-27,8
2020-03-28,5
2020-03-29,11
2020-03-30,21
2020-03-31,25
2020-04-01,17
2020-04-02,23
2020-04-03,16
2020-04-04,10
2020-04-05,11
2020-04-06,29
2020-04-07,15
2020-04-08,15
2020-04-09,15
2020-04-10,5
2020-04-11,9
2020-04-12,9
2020-04-13,26
2020-04-14,19
2020-04-15,22
2020-04-16,12
2020-04-17,18
2020-04-18,18
2020-04-19,17
2020-04-20,28
2020-04-21,21
2020-04-22,39
2020-04-23,43
2020-04-24,30
2020-04-25,25
2020-04-26,26
2020-04-27,32
2020-04-28,28
2020-04-29,29
2020-04-30,33
2020-05-01,13
2020-05-02,27
2020-05-03,18
2020-05-04,42
2020-05-05,38
2020-05-06,24
2020-05-07,23
2020-05-08,35
2020-05-09,19
2020-05-10,16
2020-05-11,43
2020-05-12,37
2020-05-13,35
2020-05-14,35
2020-05-15,30
2020-05-16,20
2020-05-17,15
2020-05-18,63
2020-05-19,44
2020-05-20,44
2020-05-21,59
2020-05-22,46
2020-05-23,21
2020-05-24,22
2020-05-25,38
2020-05-26,37
2020-05-27,51
2020-05-28,29
2020-05-29,41
2020-05-30,27
2020-05-31,15
2020-06-01,46
2020-06-02,43
2020-06-03,42
2020-06-04,36
2020-06-05,35
2020-06-06,15
2020-06-07,21
2020-06-08,38
2020-06-09,39
2020-06-10,32
2020-06-11,21
2020-06-12,42
2020-06-13,19
2020-06-14,25
2020-06-15,43
2020-06-16,50
2020-06-17,33
2020-06-18,29
2020-06-19,35
2020-06-20,20
2020-06-21,9
2020-06-22,50
2020-06-23,32
2020-06-24,30
2020-06-25,22
2020-06-26,33
2020-06-27,14
2020-06-28,7
2020-06-29,25
2020-06-30,29
2020-07-01,29
2020-07-02,22
2020-07-03,21
2020-07-04,13
2020-07-05,9
2020-07-06,29
2020-07-07,25
2020-07-08,11
2020-07-09,11
2020-07-10,3
