"dt_sin_pri","n.casos"
2020-02-22,1
2020-03-01,1
2020-03-03,1
2020-03-08,1
2020-03-10,1
2020-03-11,6
2020-03-12,5
2020-03-13,8
2020-03-14,2
2020-03-15,4
2020-03-16,8
2020-03-17,6
2020-03-18,5
2020-03-19,8
2020-03-20,13
2020-03-21,11
2020-03-22,10
2020-03-23,13
2020-03-24,13
2020-03-25,11
2020-03-26,19
2020-03-27,23
2020-03-28,17
2020-03-29,9
2020-03-30,13
2020-03-31,14
2020-04-01,15
2020-04-02,15
2020-04-03,20
2020-04-04,21
2020-04-05,14
2020-04-06,18
2020-04-07,13
2020-04-08,17
2020-04-09,19
2020-04-10,25
2020-04-11,19
2020-04-12,19
2020-04-13,24
2020-04-14,13
2020-04-15,37
2020-04-16,24
2020-04-17,29
2020-04-18,36
2020-04-19,28
2020-04-20,37
2020-04-21,14
2020-04-22,27
2020-04-23,29
2020-04-24,27
2020-04-25,21
2020-04-26,28
2020-04-27,19
2020-04-28,19
2020-04-29,18
2020-04-30,22
2020-05-01,50
2020-05-02,28
2020-05-03,21
2020-05-04,27
2020-05-05,32
2020-05-06,25
2020-05-07,28
2020-05-08,27
2020-05-09,34
2020-05-10,34
2020-05-11,27
2020-05-12,14
2020-05-13,25
2020-05-14,19
2020-05-15,31
2020-05-16,34
2020-05-17,25
2020-05-18,32
2020-05-19,17
2020-05-20,31
2020-05-21,17
2020-05-22,25
2020-05-23,16
2020-05-24,16
2020-05-25,16
2020-05-26,8
2020-05-27,18
2020-05-28,15
2020-05-29,8
2020-05-30,10
2020-05-31,9
2020-06-01,19
2020-06-02,4
2020-06-03,6
2020-06-04,5
2020-06-05,3
2020-06-06,1
2020-06-07,3
2020-06-08,4
2020-06-09,3
2020-06-10,4
2020-06-11,1
