"estimate","lower","upper","onset_date","n.reported"
1,1,1,2020-05-21,NA
2,2,2,2020-05-22,NA
2,2,2,2020-05-23,1
2,2,2,2020-05-24,2
0,0,0,2020-05-25,2
0,0,0,2020-05-26,2
1,1,1,2020-05-27,NA
1,1,1,2020-05-28,NA
1,1,1,2020-05-29,1
2,2,2,2020-05-30,1
2,2,2,2020-05-31,1
2,2,2,2020-06-01,2
7,7,7,2020-06-02,2
2,2,2,2020-06-03,2
2,2,3,2020-06-04,7
3,3,4,2020-06-05,2
5,5,6,2020-06-06,2
3,3,4,2020-06-07,3
3,3,4,2020-06-08,5
7,7,8,2020-06-09,3
2,2,3,2020-06-10,3
4,4,5,2020-06-11,7
6,6,7,2020-06-12,2
8,8,9,2020-06-13,4
7,7,8,2020-06-14,6
5,5,6,2020-06-15,8
4,4,5,2020-06-16,7
4,4,5,2020-06-17,5
9,9,10,2020-06-18,4
5,5,7,2020-06-19,4
2,2,4,2020-06-20,9
5,5,7,2020-06-21,5
5,5,7,2020-06-22,2
4,4,6,2020-06-23,5
8,7,10,2020-06-24,5
5,4,8,2020-06-25,4
9,8,12,2020-06-26,7
3,2,6,2020-06-27,4
1,0,5,2020-06-28,8
3,0,7,2020-06-29,2
