"estimate","lower","upper","onset_date","n.reported"
1,1,1,2020-04-26,NA
3,3,3,2020-04-27,1
3,3,3,2020-04-28,3
0,0,0,2020-04-29,3
2,2,2,2020-04-30,NA
0,0,0,2020-05-01,2
0,0,0,2020-05-02,NA
0,0,0,2020-05-03,NA
1,1,1,2020-05-04,NA
0,0,0,2020-05-05,1
0,0,0,2020-05-06,NA
1,1,1,2020-05-07,NA
0,0,0,2020-05-08,1
0,0,0,2020-05-09,NA
1,1,1,2020-05-10,NA
3,3,3,2020-05-11,1
2,2,2.02499999999964,2020-05-12,3
4,4,5,2020-05-13,2
1,1,2,2020-05-14,4
3,3,4,2020-05-15,1
1,1,2,2020-05-16,3
2,2,3,2020-05-17,1
2,2,4,2020-05-18,2
1,1,3,2020-05-19,2
2,2,4,2020-05-20,1
2,2,4,2020-05-21,2
4,4,7,2020-05-22,2
4,4,7,2020-05-23,4
4,3,6,2020-05-24,4
2,1,4,2020-05-25,3
3,2,6,2020-05-26,1
1,0,4,2020-05-27,2
3,2,6,2020-05-28,NA
4,3,8,2020-05-29,2
3,1,6,2020-05-30,3
4,2,8,2020-05-31,1
2,0,6,2020-06-01,2
3,1,8,2020-06-02,NA
2,0,7,2020-06-03,1
2,0,8,2020-06-04,NA
