"dt_notific","n.notific"
2020-03-06,1
2020-03-27,1
2020-04-09,1
2020-04-16,1
2020-04-17,1
2020-04-19,2
2020-04-20,1
2020-04-21,2
2020-04-22,3
2020-04-25,1
2020-04-30,2
2020-05-02,1
2020-05-03,3
2020-05-05,1
2020-05-07,1
2020-05-08,1
2020-05-10,1
2020-05-11,5
2020-05-12,3
2020-05-14,1
2020-05-18,1
2020-05-20,6
2020-05-21,2
2020-05-22,4
2020-05-24,2
2020-05-25,1
2020-05-26,3
2020-05-27,1
2020-05-28,1
2020-05-29,1
2020-05-30,1
2020-05-31,1
2020-06-02,2
2020-06-03,2
2020-06-04,1
2020-06-08,1
2020-06-09,1
2020-06-10,2
2020-06-13,4
2020-06-14,1
