"dt_sin_pri","n.casos"
2020-03-30,1
2020-04-07,1
2020-04-08,2
2020-04-11,1
2020-04-12,3
2020-04-13,4
2020-04-14,2
2020-04-15,2
2020-04-17,2
2020-04-18,3
2020-04-19,2
2020-04-20,3
2020-04-21,2
2020-04-22,9
2020-04-23,3
2020-04-24,2
2020-04-25,4
2020-04-26,4
2020-04-27,3
2020-04-28,2
2020-04-29,3
2020-04-30,5
2020-05-01,5
2020-05-02,1
2020-05-03,7
2020-05-04,1
2020-05-05,4
2020-05-06,3
2020-05-07,3
2020-05-08,2
2020-05-09,3
2020-05-10,6
2020-05-11,5
2020-05-12,6
2020-05-13,4
2020-05-15,3
2020-05-17,2
2020-05-18,1
2020-05-19,1
2020-05-20,2
2020-05-21,3
2020-05-22,1
2020-05-23,2
2020-05-25,1
2020-05-26,2
2020-05-27,1
2020-05-28,1
2020-05-29,3
2020-05-30,1
2020-05-31,1
2020-06-01,2
2020-06-05,1
2020-06-07,1
