"dt_evoluca","n.casos"
2020-04-11,2
2020-04-12,1
2020-04-17,1
2020-04-19,2
2020-04-20,6
2020-04-21,3
2020-04-22,2
2020-04-23,2
2020-04-24,2
2020-04-25,4
2020-04-26,2
2020-04-27,1
2020-04-28,2
2020-04-30,3
2020-05-01,5
2020-05-02,3
2020-05-03,5
2020-05-04,2
2020-05-05,7
2020-05-06,3
2020-05-07,2
2020-05-08,8
2020-05-10,3
2020-05-11,3
2020-05-12,3
2020-05-13,3
2020-05-14,4
2020-05-15,1
2020-05-16,2
2020-05-17,3
2020-05-19,6
2020-05-20,4
2020-05-21,1
2020-05-22,2
2020-05-23,2
2020-05-25,4
2020-05-26,1
2020-05-28,3
2020-05-30,1
2020-05-31,1
2020-06-01,1
2020-06-03,2
2020-06-05,1
2020-06-09,1
2020-06-10,1
2020-06-17,1
2020-06-22,1
2020-06-29,1
