"dt_notific","n.notific"
2020-03-20,2
2020-03-23,2
2020-03-24,1
2020-03-25,4
2020-03-26,2
2020-03-27,1
2020-03-28,1
2020-03-29,1
2020-03-30,12
2020-03-31,1
2020-04-01,5
2020-04-02,3
2020-04-03,1
2020-04-04,2
2020-04-05,3
2020-04-06,2
2020-04-07,4
2020-04-08,4
2020-04-09,3
2020-04-10,4
2020-04-11,4
2020-04-13,6
2020-04-14,8
2020-04-15,5
2020-04-16,3
2020-04-17,1
2020-04-18,3
2020-04-19,1
2020-04-20,6
2020-04-21,3
2020-04-22,8
2020-04-23,9
2020-04-24,3
2020-04-25,2
2020-04-26,4
2020-04-27,12
2020-04-28,5
2020-04-29,4
2020-04-30,7
2020-05-01,7
2020-05-02,4
2020-05-03,5
2020-05-04,10
2020-05-05,10
2020-05-06,10
2020-05-07,9
2020-05-08,7
2020-05-09,3
2020-05-10,3
2020-05-11,10
2020-05-12,9
2020-05-13,7
2020-05-14,13
2020-05-15,12
2020-05-16,7
2020-05-17,7
2020-05-18,8
2020-05-19,10
2020-05-20,8
2020-05-21,4
2020-05-22,11
2020-05-23,11
2020-05-24,3
2020-05-25,7
2020-05-26,6
2020-05-27,8
2020-05-28,7
2020-05-29,2
2020-05-30,14
2020-05-31,8
2020-06-01,12
2020-06-02,7
2020-06-03,8
2020-06-04,3
2020-06-05,7
2020-06-06,4
2020-06-07,2
2020-06-08,7
2020-06-09,8
2020-06-10,8
2020-06-11,7
2020-06-12,5
2020-06-13,1
2020-06-14,3
2020-06-15,6
2020-06-16,7
2020-06-17,3
2020-06-18,1
2020-06-19,3
2020-06-22,4
2020-06-23,1
