"estimate","lower","upper","onset_date","n.reported"
1,1,1,2020-04-20,1
0,0,1,2020-04-21,NA
1,1,2,2020-04-22,1
3,3,4,2020-04-23,3
1,1,2,2020-04-24,1
3,3,5,2020-04-25,3
0,0,2,2020-04-26,NA
3,3,5,2020-04-27,3
1,1,3,2020-04-28,1
3,3,5,2020-04-29,3
3,3,5,2020-04-30,3
5,5,7,2020-05-01,5
0,0,2,2020-05-02,NA
2,2,4,2020-05-03,2
1,1,3,2020-05-04,1
2,2,4,2020-05-05,2
1,1,3,2020-05-06,1
1,1,3,2020-05-07,1
2,2,4,2020-05-08,2
1,1,3,2020-05-09,1
1,1,3,2020-05-10,1
2,2,5,2020-05-11,2
0,0,3,2020-05-12,NA
1,1,4,2020-05-13,1
1,1,4,2020-05-14,1
1,0,3,2020-05-15,NA
1,0,3,2020-05-16,NA
1,0,4,2020-05-17,NA
2,1,5,2020-05-18,1
2,1,5,2020-05-19,1
2,1,6,2020-05-20,1
1,0,5,2020-05-21,NA
1,0,5,2020-05-22,NA
1,0,5,2020-05-23,NA
2,1,6,2020-05-24,1
2,0,6,2020-05-25,NA
2,0,6,2020-05-26,NA
2,0,6,2020-05-27,NA
2,0,6,2020-05-28,NA
2,0,6,2020-05-29,NA
