"dt_evoluca","n.casos"
2020-03-12,1
2020-03-15,1
2020-03-16,3
2020-03-17,2
2020-03-18,4
2020-03-19,6
2020-03-20,12
2020-03-21,9
2020-03-22,11
2020-03-23,19
2020-03-24,21
2020-03-25,17
2020-03-26,19
2020-03-27,32
2020-03-28,38
2020-03-29,31
2020-03-30,32
2020-03-31,44
2020-04-01,49
2020-04-02,49
2020-04-03,53
2020-04-04,66
2020-04-05,59
2020-04-06,60
2020-04-07,71
2020-04-08,52
2020-04-09,43
2020-04-10,70
2020-04-11,55
2020-04-12,55
2020-04-13,70
2020-04-14,53
2020-04-15,67
2020-04-16,52
2020-04-17,67
2020-04-18,57
2020-04-19,49
2020-04-20,72
2020-04-21,61
2020-04-22,73
2020-04-23,90
2020-04-24,71
2020-04-25,54
2020-04-26,75
2020-04-27,75
2020-04-28,83
2020-04-29,86
2020-04-30,79
2020-05-01,76
2020-05-02,72
2020-05-03,88
2020-05-04,86
2020-05-05,101
2020-05-06,80
2020-05-07,94
2020-05-08,121
2020-05-09,90
2020-05-10,105
2020-05-11,82
2020-05-12,90
2020-05-13,104
2020-05-14,89
2020-05-15,84
2020-05-16,113
2020-05-17,90
2020-05-18,104
2020-05-19,95
2020-05-20,88
2020-05-21,93
2020-05-22,95
2020-05-23,85
2020-05-24,93
2020-05-25,78
2020-05-26,78
2020-05-27,90
2020-05-28,87
2020-05-29,96
2020-05-30,75
2020-05-31,78
2020-06-01,73
2020-06-02,84
2020-06-03,67
2020-06-04,65
2020-06-05,60
2020-06-06,55
2020-06-07,69
2020-06-08,66
2020-06-09,65
2020-06-10,58
2020-06-11,60
2020-06-12,34
2020-06-13,32
2020-06-14,30
2020-06-15,20
