"dt_evoluca","n.casos"
2020-01-03,1
2020-01-09,1
2020-01-27,1
2020-02-01,1
2020-02-04,1
2020-02-09,1
2020-02-10,1
2020-02-15,1
2020-02-19,1
2020-02-21,2
2020-02-22,1
2020-02-24,1
2020-03-02,1
2020-03-03,1
2020-03-05,1
2020-03-07,1
2020-03-08,1
2020-03-10,1
2020-03-12,2
2020-03-13,5
2020-03-14,1
2020-03-15,5
2020-03-16,9
2020-03-17,6
2020-03-18,9
2020-03-19,15
2020-03-20,21
2020-03-21,29
2020-03-22,28
2020-03-23,38
2020-03-24,43
2020-03-25,41
2020-03-26,52
2020-03-27,63
2020-03-28,70
2020-03-29,74
2020-03-30,71
2020-03-31,87
2020-04-01,89
2020-04-02,99
2020-04-03,103
2020-04-04,116
2020-04-05,107
2020-04-06,115
2020-04-07,123
2020-04-08,93
2020-04-09,72
2020-04-10,102
2020-04-11,97
2020-04-12,98
2020-04-13,119
2020-04-14,90
2020-04-15,106
2020-04-16,96
2020-04-17,111
2020-04-18,102
2020-04-19,106
2020-04-20,118
2020-04-21,103
2020-04-22,115
2020-04-23,133
2020-04-24,112
2020-04-25,95
2020-04-26,118
2020-04-27,123
2020-04-28,135
2020-04-29,158
2020-04-30,124
2020-05-01,147
2020-05-02,116
2020-05-03,132
2020-05-04,136
2020-05-05,148
2020-05-06,120
2020-05-07,150
2020-05-08,185
2020-05-09,148
2020-05-10,151
2020-05-11,161
2020-05-12,145
2020-05-13,156
2020-05-14,150
2020-05-15,135
2020-05-16,155
2020-05-17,143
2020-05-18,158
2020-05-19,148
2020-05-20,137
2020-05-21,163
2020-05-22,152
2020-05-23,133
2020-05-24,138
2020-05-25,139
2020-05-26,144
2020-05-27,141
2020-05-28,139
2020-05-29,146
2020-05-30,121
2020-05-31,130
2020-06-01,139
2020-06-02,155
2020-06-03,136
2020-06-04,140
2020-06-05,122
2020-06-06,131
2020-06-07,128
2020-06-08,136
2020-06-09,130
2020-06-10,142
2020-06-11,134
2020-06-12,116
2020-06-13,120
2020-06-14,114
2020-06-15,111
2020-06-16,89
2020-06-17,118
2020-06-18,96
2020-06-19,96
2020-06-20,81
2020-06-21,87
2020-06-22,73
2020-06-23,93
2020-06-24,79
2020-06-25,70
2020-06-26,64
2020-06-27,66
2020-06-28,48
2020-06-29,60
2020-06-30,45
2020-07-01,17
