"dt_evoluca","n.casos"
2020-01-15,1
2020-01-29,1
2020-02-02,1
2020-03-08,1
2020-03-23,1
2020-03-27,3
2020-04-02,1
2020-04-03,1
2020-04-04,4
2020-04-05,4
2020-04-06,2
2020-04-08,2
2020-04-11,1
2020-04-13,1
2020-04-14,4
2020-04-15,3
2020-04-17,2
2020-04-19,1
2020-04-20,2
2020-04-21,3
2020-04-22,1
2020-04-23,1
2020-04-25,1
2020-04-26,2
2020-04-27,4
2020-04-28,1
2020-04-30,3
2020-05-01,4
2020-05-02,1
2020-05-03,2
2020-05-04,1
2020-05-05,1
2020-05-06,5
2020-05-07,2
2020-05-08,5
2020-05-09,1
2020-05-11,3
2020-05-12,3
2020-05-13,1
2020-05-14,4
2020-05-15,1
2020-05-17,2
2020-05-18,1
2020-05-19,2
2020-05-21,1
2020-05-23,3
2020-05-24,2
2020-05-27,2
2020-05-28,1
2020-05-30,1
2020-05-31,2
2020-06-01,1
2020-06-02,1
2020-06-04,4
2020-06-05,1
2020-06-06,1
2020-06-07,1
2020-06-09,2
2020-06-10,2
2020-06-11,2
2020-06-12,1
2020-06-13,4
2020-06-14,4
2020-06-15,1
2020-06-16,5
2020-06-17,4
2020-06-18,1
2020-06-19,1
2020-06-20,2
2020-06-22,2
2020-06-24,3
2020-06-25,2
2020-06-26,3
2020-06-27,5
2020-06-28,1
2020-06-29,1
2020-07-01,1
2020-07-02,2
2020-07-03,3
2020-07-04,4
2020-07-05,2
2020-07-06,1
2020-07-07,1
